Away Team,Away Score,Home Team,Home Score,Status
Detroit Tigers,1,Chicago White Sox,5,Final
St. Louis Cardinals,9,San Francisco Giants,4,Final
Chicago Cubs,8,New York Mets,1,Final
Philadelphia Phillies,12,Arizona Diamondbacks,1,Final
Texas Rangers,6,Kansas City Royals,0,Final
Pittsburgh Pirates,4,Tampa Bay Rays,3,Final
Oakland Athletics,2,Minnesota Twins,10,Final
Houston Astros,5,Baltimore Orioles,1,Final
Cincinnati Reds,3,Boston Red Sox,4,Final
Miami Marlins,0,Seattle Mariners,9,Final
Cleveland Guardians,6,Toronto Blue Jays,3,Final
New York Yankees,4,Atlanta Braves,1,In Progress
San Diego Padres,4,Milwaukee Brewers,0,In Progress
Colorado Rockies,0,Washington Nationals,0,Scheduled
Los Angeles Dodgers,0,Los Angeles Angels,0,Scheduled
