Away Team,Away Score,Home Team,Home Score,Status
Hawai'i Rainbow Warriors,0,Delaware State Hornets,0,Scheduled
Georgia Tech Yellow Jackets,0,Florida State Seminoles,0,Scheduled
New Mexico Lobos,0,Montana State Bobcats,0,Scheduled
Nevada Wolf Pack,0,SMU Mustangs,0,Scheduled
San José State Spartans,0,Sacramento State Hornets,0,Scheduled
Rutgers Scarlet Knights,0,Howard Bison,0,Scheduled
Wake Forest Demon Deacons,0,North Carolina A&T Aggies,0,Scheduled
UCF Knights,0,New Hampshire Wildcats,0,Scheduled
NC State Wolfpack,0,Western Carolina Catamounts,0,Scheduled
UL Monroe Warhawks,0,Jackson State Tigers,0,Scheduled
Buffalo Bulls,0,Lafayette Leopards,0,Scheduled
Bowling Green Falcons,0,Fordham Rams,0,Scheduled
Central Michigan Chippewas,0,Central Connecticut Blue Devils,0,Scheduled
Arkansas Razorbacks,0,Arkansas-Pine Bluff Golden Lions,0,Scheduled
Toledo Rockets,0,Duquesne Dukes,0,Scheduled
Missouri Tigers,0,Murray State Racers,0,Scheduled
Minnesota Golden Gophers,0,North Carolina Tar Heels,0,Scheduled
Colorado Buffaloes,0,North Dakota State Bison,0,Scheduled
Kansas Jayhawks,0,Lindenwood Lions,0,Scheduled
Jacksonville State Gamecocks,0,Coastal Carolina Chanticleers,0,Scheduled
UAB Blazers,0,Alcorn State Braves,0,Scheduled
Tulane Green Wave,0,SE Louisiana Lions,0,Scheduled
Tulsa Golden Hurricane,0,Northwestern State Demons,0,Scheduled
Utah Utes,0,Southern Utah Thunderbirds,0,Scheduled
Illinois Fighting Illini,0,Eastern Illinois Panthers,0,Scheduled
Army Black Knights,0,Lehigh Mountain Hawks,0,Scheduled
Oklahoma Sooners,0,Temple Owls,0,Scheduled
Michigan State Spartans,0,Florida Atlantic Owls,0,Scheduled
Duke Blue Devils,0,Elon Phoenix,0,Scheduled
Wisconsin Badgers,0,Western Michigan Broncos,0,Scheduled
Stanford Cardinal,0,TCU Horned Frogs,0,Scheduled
Indiana Hoosiers,0,Florida International Panthers,0,Scheduled
Maryland Terrapins,0,UConn Huskies,0,Scheduled
Nebraska Cornhuskers,0,UTEP Miners,0,Scheduled
Ohio State Buckeyes,0,Akron Zips,0,Scheduled
West Virginia Mountaineers,0,Penn State Nittany Lions,0,Scheduled
San Diego State Aztecs,0,Texas A&M-Commerce Lions,0,Scheduled
Utah State Aggies,0,Robert Morris Colonials,0,Scheduled
Northwestern Wildcats,0,Miami (OH) RedHawks,0,Scheduled
Georgia Bulldogs,0,Clemson Tigers,0,Scheduled
Vanderbilt Commodores,0,Virginia Tech Hokies,0,Scheduled
Iowa Hawkeyes,0,Illinois State Redbirds,0,Scheduled
Louisville Cardinals,0,Austin Peay Governors,0,Scheduled
Purdue Boilermakers,0,Indiana State Sycamores,0,Scheduled
Pittsburgh Panthers,0,Kent State Golden Flashes,0,Scheduled
Navy Midshipmen,0,Bucknell Bison,0,Scheduled
Tennessee Volunteers,0,Chattanooga Mocs,0,Scheduled
Oklahoma State Cowboys,0,South Dakota State Jackrabbits,0,Scheduled
Cincinnati Bearcats,0,Towson Tigers,0,Scheduled
Washington State Cougars,0,Portland State Vikings,0,Scheduled
Florida Gators,0,Miami Hurricanes,0,Scheduled
Texas Longhorns,0,Colorado State Rams,0,Scheduled
Massachusetts Minutemen,0,Eastern Michigan Eagles,0,Scheduled
Appalachian State Mountaineers,0,East Tennessee State Buccaneers,0,Scheduled
Iowa State Cyclones,0,North Dakota Fighting Hawks,0,Scheduled
Syracuse Orange,0,Ohio Bobcats,0,Scheduled
UTSA Roadrunners,0,Kennesaw State Owls,0,Scheduled
Air Force Falcons,0,Merrimack Warriors,0,Scheduled
Northern Illinois Huskies,0,Western Illinois Leathernecks,0,Scheduled
Georgia Southern Eagles,0,Boise State Broncos,0,Scheduled
South Carolina Gamecocks,0,Old Dominion Monarchs,0,Scheduled
Marshall Thundering Herd,0,Stony Brook Seawolves,0,Scheduled
California Golden Bears,0,UC Davis Aggies,0,Scheduled
South Alabama Jaguars,0,North Texas Mean Green,0,Scheduled
Mississippi State Bulldogs,0,Eastern Kentucky Colonels,0,Scheduled
Liberty Flames,0,Campbell Fighting Camels,0,Scheduled
Virginia Cavaliers,0,Richmond Spiders,0,Scheduled
East Carolina Pirates,0,Norfolk State Spartans,0,Scheduled
Oregon State Beavers,0,Idaho State Bengals,0,Scheduled
Alabama Crimson Tide,0,Western Kentucky Hilltoppers,0,Scheduled
Ole Miss Rebels,0,Furman Paladins,0,Scheduled
Arkansas State Red Wolves,0,Central Arkansas Bears,0,Scheduled
South Florida Bulls,0,Bethune-Cookman Wildcats,0,Scheduled
Baylor Bears,0,Tarleton State Texans,0,Scheduled
Houston Cougars,0,UNLV Rebels,0,Scheduled
Kansas State Wildcats,0,UT Martin Skyhawks,0,Scheduled
Middle Tennessee Blue Raiders,0,Tennessee Tech Golden Eagles,0,Scheduled
Rice Owls,0,Sam Houston Bearkats,0,Scheduled
Troy Trojans,0,Nevada Wolf Pack,0,Scheduled
Memphis Tigers,0,North Alabama Lions,0,Scheduled
Auburn Tigers,0,Alabama A&M Bulldogs,0,Scheduled
Texas A&M Aggies,0,Notre Dame Fighting Irish,0,Scheduled
Michigan Wolverines,0,Fresno State Bulldogs,0,Scheduled
Oregon Ducks,0,Idaho Vandals,0,Scheduled
Hawai'i Rainbow Warriors,0,UCLA Bruins,0,Scheduled
Texas Tech Red Raiders,0,Abilene Christian Wildcats,0,Scheduled
Kentucky Wildcats,0,Southern Miss Golden Eagles,0,Scheduled
BYU Cougars,0,Southern Illinois Salukis,0,Scheduled
Georgia Tech Yellow Jackets,0,Georgia State Panthers,0,Scheduled
SMU Mustangs,0,Houston Christian Huskies,0,Scheduled
Louisiana Ragin' Cajuns,0,Grambling Tigers,0,Scheduled
Louisiana Tech Bulldogs,0,Nicholls Colonels,0,Scheduled
Charlotte 49ers,0,James Madison Dukes,0,Scheduled
Texas State Bobcats,0,Lamar Cardinals,0,Scheduled
New Mexico State Aggies,0,Southeast Missouri State Redhawks,0,Scheduled
Arizona Wildcats,0,New Mexico Lobos,0,Scheduled
Arizona State Sun Devils,0,Wyoming Cowboys,0,Scheduled
Washington Huskies,0,Weber State Wildcats,0,Scheduled
LSU Tigers,0,USC Trojans,0,Scheduled
Florida State Seminoles,0,Boston College Eagles,0,Scheduled
