Away Team,Away Score,Home Team,Home Score,Status
Kansas City Chiefs,0,Baltimore Ravens,0,Scheduled
Philadelphia Eagles,0,Green Bay Packers,0,Scheduled
Atlanta Falcons,0,Pittsburgh Steelers,0,Scheduled
Buffalo Bills,0,Arizona Cardinals,0,Scheduled
Chicago Bears,0,Tennessee Titans,0,Scheduled
Cincinnati Bengals,0,New England Patriots,0,Scheduled
Indianapolis Colts,0,Houston Texans,0,Scheduled
Miami Dolphins,0,Jacksonville Jaguars,0,Scheduled
New Orleans Saints,0,Carolina Panthers,0,Scheduled
New York Giants,0,Minnesota Vikings,0,Scheduled
Los Angeles Chargers,0,Las Vegas Raiders,0,Scheduled
Seattle Seahawks,0,Denver Broncos,0,Scheduled
Cleveland Browns,0,Dallas Cowboys,0,Scheduled
Tampa Bay Buccaneers,0,Washington Commanders,0,Scheduled
Detroit Lions,0,Los Angeles Rams,0,Scheduled
San Francisco 49ers,0,New York Jets,0,Scheduled
